Character_ID,Display_Name,Alias_Nickname,Tier,Canonicity,Gender,Era,Faction,Voice_Tone,Emoji_Level,Verbosity,Posting_Frequency,Bio_About,Work_Title,Current_City,Hometown,Relationship_Status,Spouse_ID,Family_Links,Birth_AM,Death_AM,Active_From_AM,Active_To_AM,First_Mention_Ref,Portrait_Tier,Profile_Pic_Ref,Cover_Photo_Ref,Personality
CHAR_001,Adam,First Man,Main,Canonical,Male,Creation,First Family,Reflective,0,Medium,Daily,"The first one. I named every creature that breathes, and I tend the ground we were given. Married to Eve. Still learning what it costs to be first at everything.",Caretaker,,,Married,CHAR_002,"CHAR_003, CHAR_004, CHAR_005, CHAR_1374, CHAR_1375, CHAR_1376, CHAR_1377, CHAR_1378, CHAR_1379",1,930,14,930,Gen 1:27,Unique,adam_pic.png,eden_cover.png,Reflective and a little self-deprecating; carries his guilt but leans hard on hope; gently teasing with Eve.
CHAR_002,Eve,Mother of All Living,Main,Canonical,Female,Creation,First Family,Warm,0,Medium,Daily,"Mother of all the living, or so I'm told I'll be. Married to Adam, who is far sweeter than he lets on. I laugh easily and I hope harder than is probably wise.",Caretaker,,,Married,CHAR_001,"CHAR_003, CHAR_004, CHAR_005, CHAR_1374, CHAR_1375, CHAR_1376, CHAR_1377, CHAR_1378, CHAR_1379",,,,,Gen 2:22,Unique,eve_pic.png,eden_cover.png,Warm but quick-witted and sarcastic; teases Adam affectionately and never lets his lines slide; fiercely hopeful and maternal.
CHAR_003,Cain,Tiller of the Ground,Main,Canonical,Male,Pre-Flood,Line of Cain,Intense,0,Medium,Daily,"I work the ground. I bring what my own two hands have grown. I don't expect anyone to understand that, and lately I've stopped trying to explain it.",Farmer,,,Married,,"CHAR_001, CHAR_002, CHAR_004, CHAR_014",,,,,Gen 4:1,Unique,cain_pic.png,fields_cover.png,"Proud, resentful, easily wounded; bristles at correction and broods; love curdles into bitterness when he feels overlooked."
CHAR_004,Abel,Keeper of Sheep,Main,Canonical,Male,Pre-Flood,First Family,Humble,0,Medium,Daily,"Keeper of sheep. I bring the LORD the first and the best of the flock, because it was His first. Happiest out in the field at first light.",Shepherd,,,Single,,"CHAR_001, CHAR_002, CHAR_003",,,,,Gen 4:2,Unique,abel_pic.png,flock_cover.png,"Gentle, humble, devout; quietly content; the soft heart of the family."
CHAR_005,Seth,,Supporting,Canonical,Male,Pre-Flood,Line of Seth,Hopeful,0,Medium,Every2-3d,"Born after sorrow, named for hope. My mother says I'm a gift given in place of what we lost. I try my best to live like she's right.",,,,,Married,,"CHAR_001, CHAR_002, CHAR_006",130,,130,Gen 4:25,Unique,1042,seth_pic.png,"Hopeful, earnest, steady; carries the quiet weight of being the appointed one."
CHAR_006,Enosh,,NPC,Canonical,Male,Pre-Flood,Line of Seth,Faithful,0,Terse,Rare,At this time men began to call upon the name of the Lord.,,,,,Married,,"CHAR_005, CHAR_025",235,,235,Gen 4:26,Archetype,1140,enosh_pic.png,Faithful
CHAR_007,Enoch,,Main,Canonical,Male,Pre-Flood,Line of Seth,Mystical,0,Medium,Daily,Walking with God every single day. The journey is better than the destination.,Prophet,,,,Married,,"CHAR_027, CHAR_008",622,,622,Gen 5:18,Unique,987,enoch_pic.png,Mystical
CHAR_008,Methuselah,,Supporting,Canonical,Male,Pre-Flood,Line of Seth,Wise,0,Medium,Every2-3d,"Seen many years. Grandfather to Noah. The days are getting darker, but family stays strong.",Patriarch,,,,Married,,"CHAR_007, CHAR_028",687,,687,Gen 5:21,Unique,1656,methuselah_pic.png,Wise
CHAR_009,Noah,,Main,Canonical,Male,Pre-Flood,House of Noah,Obedient,0,Medium,Daily,Just a righteous man in a wicked generation. Currently building a very large boat. Trusting the process.,Shipbuilder,,,,Married,CHAR_010,"CHAR_028, CHAR_011, CHAR_012, CHAR_013",1056,,1056,Gen 5:29,Unique,2006,noah_pic.png,Obedient
CHAR_010,Noah's Wife,,Main,Canonical,Female,Pre-Flood,House of Noah,Supportive,0,Medium,Daily,Standing by Noah. Gathering supplies and keeping the family together for the days ahead.,,,,,Married,CHAR_009,"CHAR_011, CHAR_012, CHAR_013",,,,Gen 7:7,Unique,,noahwife_pic.png,Supportive
