Source_ID,Source_Name,Target_ID,Target_Name,Type,Mutual
CHAR_001,Adam,CHAR_003,Cain,family,yes
CHAR_001,Adam,CHAR_004,Abel,family,yes
CHAR_001,Adam,CHAR_005,Seth,family,yes
CHAR_001,Adam,CHAR_002,Eve,spouse,yes
CHAR_001,Adam,CHAR_885,Devir the Herdsman,faction-tie,yes
CHAR_001,Adam,CHAR_887,Noya of Fields,faction-tie,yes
CHAR_001,Adam,CHAR_002,Eve,faction-tie,yes
CHAR_001,Adam,CHAR_886,Doran the Fowler,faction-tie,yes
CHAR_001,Adam,CHAR_002,Eve,follows,no
CHAR_001,Adam,CHAR_884,Raviv the Shepherd,acquaintance,yes
CHAR_002,Eve,CHAR_003,Cain,family,yes
CHAR_002,Eve,CHAR_004,Abel,family,yes
CHAR_002,Eve,CHAR_005,Seth,family,yes
CHAR_002,Eve,CHAR_887,Noya of Fields,faction-tie,yes
CHAR_002,Eve,CHAR_885,Devir the Herdsman,faction-tie,yes
CHAR_002,Eve,CHAR_886,Doran the Fowler,faction-tie,yes
CHAR_002,Eve,CHAR_001,Adam,follows,no
CHAR_002,Eve,CHAR_884,Raviv the Shepherd,acquaintance,yes
CHAR_003,Cain,CHAR_004,Abel,family,yes
CHAR_003,Cain,CHAR_014,Enoch,family,yes
CHAR_003,Cain,CHAR_893,Achina of Plains,faction-tie,yes
CHAR_003,Cain,CHAR_017,Methushael,faction-tie,yes
CHAR_003,Cain,CHAR_021,Jabal,faction-tie,yes
CHAR_003,Cain,CHAR_004,Abel,follows,no
CHAR_003,Cain,CHAR_007,Enoch,follows,no
CHAR_003,Cain,CHAR_009,Noah,follows,no
CHAR_003,Cain,CHAR_010,Noah's Wife,follows,no
CHAR_003,Cain,CHAR_012,Ham,follows,no
CHAR_003,Cain,CHAR_005,Seth,follows,no
CHAR_003,Cain,CHAR_012,Ham,acquaintance,yes
CHAR_003,Cain,CHAR_657,Mekel,acquaintance,yes
CHAR_003,Cain,CHAR_891,Doreth of Enoch,acquaintance,yes
CHAR_004,Abel,CHAR_003,Cain,follows,no
CHAR_004,Abel,CHAR_007,Enoch,follows,no
CHAR_004,Abel,CHAR_009,Noah,follows,no
CHAR_004,Abel,CHAR_010,Noah's Wife,follows,no
CHAR_004,Abel,CHAR_028,Lamech,follows,no
CHAR_004,Abel,CHAR_031,Japheth's Wife,follows,no
CHAR_004,Abel,CHAR_028,Lamech,acquaintance,yes
CHAR_004,Abel,CHAR_895,Sela the Homemaker,acquaintance,yes
CHAR_004,Abel,CHAR_016,Mehujael,acquaintance,yes
CHAR_005,Seth,CHAR_007,Enoch,faction-tie,yes
